DEVICE S/N: 153210001
DEVICE SW: 2.2.604
PATIENT ID: PID-000001-000157
CCT: 460
KMax: 71.7
Sph: 0
Cyl: -6.75
Axis: 160
[SENSOR] 
P0: -0.0479
P1: 0.0208
P2: -1.5e-07
P3: 0
[END-SENSOR] 
TREATMENT ID: TID-000001-000276
RIBOSCORE: 0.70 
THERASCORE: 0.94 

TIME (s) 	PHASE    	CBIT                          	IONTOPH  	IONTOCURR	IONTOVOLT	UV SENSOR	UV-A LED 	UV-A CURR	POWER DNS	BLUE LED 	GREEN LED	GREEN CH 	CONC     	EFFICACY 
30       	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	0.0585440	0.0000000	0.0000000
60       	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	8.9809131	0.0000000	0.0000000
90       	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	1.6799977	0.0000000	0.0000000
120      	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	1        	0.0000000	11.0000000	0        	1        	0.0045565	0.0000000	0.0000000
120      	1 (base) 	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	1        	0.0000000	11.0000000	0        	1        	0.0047677	0.0000000	0.0000000
150      	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	0        	1        	8.5881612	0.0000000	0.0000000
180      	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	0        	1        	185.1651384	0.0000000	0.0000000
210      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9215413	4.7499096	0        	0        	0.0000000	11.0000000	1        	1        	114.8115594	0.0000000	0.0000000
240      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.8967488	4.7611624	0        	0        	0.0000000	11.0000000	1        	1        	114.9749109	0.0000000	0.0000000
270      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.8846164	4.7561612	0        	0        	0.0000000	11.0000000	1        	1        	114.7716312	0.0000000	0.0000000
300      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.8724839	4.7761661	0        	0        	0.0000000	11.0000000	1        	1        	115.9199568	0.0000000	0.0000000
330      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.8999138	4.7574115	0        	0        	0.0000000	11.0000000	1        	1        	116.7246449	0.0000000	0.0000000
360      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9125738	4.7599121	0        	0        	0.0000000	11.0000000	1        	1        	117.0664468	0.0000000	0.0000000
390      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9146838	4.7599121	0        	0        	0.0000000	11.0000000	1        	1        	116.5694236	0.0000000	0.0000000
420      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9373663	4.7461587	0        	0        	0.0000000	11.0000000	1        	1        	117.0760553	0.0000000	0.0000000
450      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9421138	4.7486593	0        	0        	0.0000000	11.0000000	1        	1        	113.9960283	0.0000000	0.0000000
480      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9489713	4.7499096	0        	0        	0.0000000	11.0000000	1        	1        	115.4892585	0.0000000	0.0000000
510      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9832587	4.7299048	0        	0        	0.0000000	11.0000000	1        	1        	115.1997872	0.0000000	0.0000000
540      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9880062	4.7336557	0        	0        	0.0000000	11.0000000	1        	1        	114.3422568	0.0000000	0.0000000
570      	5        	00 00 00 00 00 00 00 00 00 00 	1        	0.9711262	4.7399072	0        	0        	0.0000000	11.0000000	1        	1        	115.8806377	0.0000000	0.0000000
600      	5        	00 00 00 00 00 00 00 00 00 00 	1        	1.0143812	4.7274042	0        	0        	0.0000000	11.0000000	1        	1        	115.2351021	0.0000000	0.0000000
630      	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	111.3216835	0.0000000	0.0000000
650      	1 (meas) 	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	1        	0.0000000	11.0000000	0        	1        	57.0535190	92.7327790	0.0000000
659      	1 (start I)	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	0.3649743	92.7327790	0.0000000
